Dataframe,Normalized
Calgary WC,Calgary Winter Club
Calgary Wild Rose FSC,Wild Rose FSC
Champs International SC of BC,Champs International Skating Centre
Crowfoot Skating Club,Crowfoot SC
Crowsnest Pass SC,Crowsnest Pass FSC
Extreme Edge FSC,Extreme Edge SC
Extreme Edge SC Edmonton,Extreme Edge SC
Gloucester SC,Gloucester FSC
Golden Edge SA,Golden Edge Skating Academy
Innisfail Skating Club,Innisfail SC
Kimberly Skating Club,Kimberley SC
Lethbridge Skating Club,Lethbridge SC
Moosomin Skating Club,Moosomin SC
Noralta FSC,Noralta SC
Norlight FSC,Norlight SC
Olympia Skating Club,Olympia SC
Prince Albert SC Corp.,Prince Albert SC
Provost & Dist,Provost & District SC
Provost & Dist SC,Provost & District SC
Red Deer FSC,Red Deer SC
Sherwood Parkdale FSC,Sherwood Parkdale SC
Skate Ponoka Club,Skate Ponoka
Saskatoon FSC,Skate Saskatoon
Saskatoon FSC/Skate Saskatoon,Skate Saskatoon
Skate Saskatoon/Saskatoon FSC,Skate Saskatoon
St. Albert SC,St. Albert Skating Centre
Thorncliffe Greenview SC,Thorncliffe-Greenview SC
Thorncliffe Greenview Ice SC,Thorncliffe-Greenview SC
West Hillhurst Skating Club,West Hillhurst SC
York Region Skating Academy WC,York Region Skating Academy
Calgary North Edge Skating Academy,Golden Edge Skating Academy
Golden Edge SC,Golden Edge Skating Academy
Medicine Hat SC,Medicine Hat FSC
Thorncliffe Greenview Ice Skating Cl,Thorncliffe-Greenview SC
