Scraped,Normalized
Bronze Men (Adult - FS),Bronze Men (Adult - FS)
Bronze Triathlon Women,Bronze Women (Triathlon)
Bronze Women (Adult - IN),Bronze Women (Adult - Artistic)
Bronze Women (ADULT IN),Bronze Women (Adult - Artistic)
Bronze Women (IN - 13&O),Bronze Women (Adult - Artistic)
Bronze Women (IN - A),Bronze Women (Adult - Artistic)
Bronze Women (IN - B),Bronze Women (Adult - Artistic)
Bronze Women (IN - C),Bronze Women (Adult - Artistic)
Bronze Women (IN - D),Bronze Women (Adult - Artistic)
Bronze Women (IN - E),Bronze Women (Adult - Artistic)
Bronze Women (IN - F),Bronze Women (Adult - Artistic)
Bronze Women (IN - Flt A),Bronze Women (Adult - Artistic)
Bronze Women (IN - Flt B),Bronze Women (Adult - Artistic)
Bronze Women (IN - Flt C),Bronze Women (Adult - Artistic)
Bronze Women (IN - Flt D),Bronze Women (Adult - Artistic)
Bronze Women (IN - Flt E),Bronze Women (Adult - Artistic)
Bronze Women (IN - Flt F),Bronze Women (Adult - Artistic)
Bronze Women (IN - Flt G),Bronze Women (Adult - Artistic)
Bronze Women (IN - Flt H),Bronze Women (Adult - Artistic)
Bronze Women (IN - Flt I),Bronze Women (Adult - Artistic)
Bronze Women (IN - G),Bronze Women (Adult - Artistic)
Bronze Women (IN - U13),Bronze Women (Adult - Artistic)
Bronze Women (IN),Bronze Women (Adult - Artistic)
Bronze Women (A),Bronze Women (Adult - FS)
Bronze Women (Adult - FS),Bronze Women (Adult - FS)
Bronze Women (ADULT FS),Bronze Women (Adult - FS)
Bronze Women (Adult),Bronze Women (Adult - FS)
Bronze Women (B),Bronze Women (Adult - FS)
Bronze Women (C),Bronze Women (Adult - FS)
Bronze Women (D),Bronze Women (Adult - FS)
Bronze Women (CS),Bronze Women (CS)
Elite Women (Adult - Artistic),Elite Women (Adult - Artistic)
Elite Women (Adult - IN),Elite Women (Adult - Artistic)
Elite Women (Adult Artistic),Elite Women (Adult - Artistic)
Elite Women (Adult IN),Elite Women (Adult - Artistic)
Elite Women (Adult),Elite Women (Adult- FS)
Gold Triathlon Women,Gold Women (Triathlon)
Gold Women (Adult - IN),Gold Women (Adult - Artistic)
Gold Women (Adult Artistic),Gold Women (Adult - Artistic)
Gold Women (Adult IN),Gold Women (Adult - Artistic)
Gold Women (Adult - FS),Gold Women (Adult - FS)
Gold Women (Adult FS),Gold Women (Adult - FS)
Gold Women (Artistic - A),Gold Women (Artistic)
Gold Women (Artistic - B),Gold Women (Artistic)
Gold Women (Artistic - Flt A),Gold Women (Artistic)
Gold Women (Artistic - Flt B),Gold Women (Artistic)
Gold Women (Artistic - Flt C),Gold Women (Artistic)
Gold Women (Artistic A),Gold Women (Artistic)
Gold Women (Artistic B),Gold Women (Artistic)
Gold Women (Artistic),Gold Women (Artistic)
Gold Women (IN - A),Gold Women (Artistic)
Gold Women (IN - B),Gold Women (Artistic)
Gold Women (IN - Flt A),Gold Women (Artistic)
Gold Women (IN - Flt B),Gold Women (Artistic)
Gold Women (IN),Gold Women (Artistic)
Gold Women (CS),Gold Women (CS)
Gold Women (FS),Gold Women (FS)
Gold Women FS,Gold Women (FS)
Gold Women,Gold Women (FS)
Intro Open Women (Adult - FS),Intro Open Women (Adult - FS)
Intro Open Women (Adult FS),Intro Open Women (Adult - FS)
Introductory Women (Adult - IN),Introductory Women (Adult - Artistic)
Introductory Women (Adult Artistic),Introductory Women (Adult - Artistic)
Introductory Women (Adult IN Exhibition),Introductory Women (Adult - Artistic)
Introductory Women (Adult IN),Introductory Women (Adult - Artistic)
Junior Men,Junior Men
Junior Men (FS),Junior Men (FS)
Junior Men (SP),Junior Men (SP)
Junior Women,Junior Women
Junior Women (Flight A),Junior Women
Junior Women (Flight B),Junior Women
Junior Women (FS),Junior Women (FS)
Junior Women (SP),Junior Women (SP)
Juvenile Men,Juvenile Men (FS)
Juvenile Men (Flight U12),Juvenile Men U12 (FS)
Juvenile Men (U12),Juvenile Men U12 (FS)
Juvenile Men (Flight U14),Juvenile Men U14 (FS)
Juvenile Men (U14),Juvenile Men U14 (FS)
Juvenile Men (U15),Juvenile Men U14 (FS)
Juvenile Women,Juvenile Women (FS)
Juvenile Women (Flight U12 - Flt A),Juvenile Women U12 (FS)
Juvenile Women (Flight U12 - Flt B),Juvenile Women U12 (FS)
Juvenile Women (U12 - A),Juvenile Women U12 (FS)
Juvenile Women (U12 - B),Juvenile Women U12 (FS)
Juvenile Women (U12 - Flt A),Juvenile Women U12 (FS)
Juvenile Women (U12 - Flt B),Juvenile Women U12 (FS)
Juvenile Women (U12),Juvenile Women U12 (FS)
Juvenile Women (U12-A),Juvenile Women U12 (FS)
Juvenile Women (U12-B),Juvenile Women U12 (FS)
Juvenile Women (Flight U14 - Flt A),Juvenile Women U14 (FS)
Juvenile Women (Flight U14 - Flt B),Juvenile Women U14 (FS)
Juvenile Women (Flight U14 - Flt C),Juvenile Women U14 (FS)
Juvenile Women (U14 - A),Juvenile Women U14 (FS)
Juvenile Women (U14 - B),Juvenile Women U14 (FS)
Juvenile Women (U14 - C),Juvenile Women U14 (FS)
Juvenile Women (U14 - Flt A),Juvenile Women U14 (FS)
Juvenile Women (U14 - Flt B),Juvenile Women U14 (FS)
Juvenile Women (U14 - Flt C),Juvenile Women U14 (FS)
Juvenile Women (U14),Juvenile Women U14 (FS)
Juvenile Women (U15 - B),Juvenile Women U14 (FS)
Juvenile Women (U15 - C),Juvenile Women U14 (FS)
Juvenile Women (U15 - Flt A),Juvenile Women U14 (FS)
Juvenile Women (U15 - Flt B),Juvenile Women U14 (FS)
Juvenile Women (U15-A),Juvenile Women U14 (FS)
Juvenile Women (U15-B),Juvenile Women U14 (FS)
Juvenile Women (U15-C),Juvenile Women U14 (FS)
Masters Women (Adult - FS),Masters Women (Adult - FS)
Masters Women (Adult FS),Masters Women (Adult - FS)
Masters Women (FS),Masters Women (Adult - FS)
Novice Men,Novice Men
Novice Men (FS),Novice Men (FS)
Novice Men (SP),Novice Men (SP)
Novice Women,Novice Women
Novice Women (A),Novice Women
Novice Women (B),Novice Women
Novice Women (Flight A),Novice Women
Novice Women (Flight B),Novice Women
Novice Women (Flight C),Novice Women
Novice Women (FS - A),Novice Women (FS)
Novice Women (FS - B),Novice Women (FS)
Novice Women (FS),Novice Women (FS)
Novice Women (FS-A),Novice Women (FS)
Novice Women (FS-B),Novice Women (FS)
Novice Women (SP - A),Novice Women (SP)
Novice Women (SP - B),Novice Women (SP)
Novice Women (SP),Novice Women (SP)
Novice Women (SP-A),Novice Women (SP)
Novice Women (SP-B),Novice Women (SP)
Pre-Juvenile Men,Pre-Juvenile Men (FS)
Pre-Juvenile Men (Flight U11),Pre-Juvenile Men U11 (FS)
Pre-Juvenile Men (U11),Pre-Juvenile Men U11 (FS)
Pre-Juvenile Men (Flight U13),Pre-Juvenile Men U13 (FS)
Pre-Juvenile Men (U13),Pre-Juvenile Men U13 (FS)
Pre-Juvenile Women (Flight U11 - Flt B),Pre-Juvenile Women U11 (FS)
Pre-Juvenile Women (Flight U11 - Flt C),Pre-Juvenile Women U11 (FS)
Pre-Juvenile Women (U11 - A),Pre-Juvenile Women U11 (FS)
Pre-Juvenile Women (U11 - B),Pre-Juvenile Women U11 (FS)
Pre-Juvenile Women (U11 - C),Pre-Juvenile Women U11 (FS)
Pre-Juvenile Women (U11 - Flt A),Pre-Juvenile Women U11 (FS)
Pre-Juvenile Women (U11 - Flt B),Pre-Juvenile Women U11 (FS)
Pre-Juvenile Women (U11 - Flt C),Pre-Juvenile Women U11 (FS)
Pre-Juvenile Women (U11),Pre-Juvenile Women U11 (FS)
Pre-Juvenile Women (U11-A),Pre-Juvenile Women U11 (FS)
Pre-Juvenile Women (U11-B),Pre-Juvenile Women U11 (FS)
Pre-Juvenile Women (Flight U13 - Flt A),Pre-Juvenile Women U13 (FS)
Pre-Juvenile Women (Flight U13 - Flt B),Pre-Juvenile Women U13 (FS)
Pre-Juvenile Women (U13 - A),Pre-Juvenile Women U13 (FS)
Pre-Juvenile Women (U13 - B),Pre-Juvenile Women U13 (FS)
Pre-Juvenile Women (U13 - Flt A),Pre-Juvenile Women U13 (FS)
Pre-Juvenile Women (U13 - Flt B),Pre-Juvenile Women U13 (FS)
Pre-Juvenile Women (U13 Flt A),Pre-Juvenile Women U13 (FS)
Pre-Juvenile Women (U13 Flt B),Pre-Juvenile Women U13 (FS)
Pre-Juvenile Women (U13),Pre-Juvenile Women U13 (FS)
Pre-Juvenile Women (U13-A),Pre-Juvenile Women U13 (FS)
Pre-Juvenile Women (U13-B),Pre-Juvenile Women U13 (FS)
Pre-Novice Men,Pre-Novice Men
Pre-Novice Men (FS),Pre-Novice Men (FS)
Pre-Novice Men (SP),Pre-Novice Men (SP)
Pre-Novice Women,Pre-Novice Women
Pre-Novice Women (A),Pre-Novice Women
Pre-Novice Women (B),Pre-Novice Women
Pre-Novice Women (C),Pre-Novice Women
Pre-Novice Women (D),Pre-Novice Women
Pre-Novice Women (Flight A),Pre-Novice Women
Pre-Novice Women (Flight B),Pre-Novice Women
Pre-Novice Women (Flight C),Pre-Novice Women
Pre-Novice Women (Flight D),Pre-Novice Women
Pre-Novice Women (Flight E),Pre-Novice Women
