Scraped,Normalized
Airdrie SC,Airdrie SC
Andrew FSC,Andrew FSC
Ardrossan Strathcona FSC,Ardrossan Strathcona FSC
Banff FSC,Banff FSC
Beaumont FSC,Beaumont FSC
Calalta FSC,Calalta FSC
Calgary Winter Club,Calgary Winter Club
Calgary WC,Calgary Winter Club
Canmore SC,Canmore SC
Carstairs FSC,Carstairs FSC
Centennial FSC,Centennial FSC
Cochrane SC,Cochrane SC
Cold Lake FSC,Cold Lake FSC
Crowchild SC,Crowchild SC
Crowfoot SC,Crowfoot SC
Crowfoot Skating Club,Crowfoot SC
Crowsnest Pass SC,Crowsnest Pass FSC
Cypress School of Skating,Cypress School of Skating
Derrick FSC,Derrick FSC
Extreme Edge SC Edmonton,Extreme Edge FSC
Extreme Edge SC,Extreme Edge FSC
Figure 8 SC,Figure 8 SC
Fliteway FSC,Fliteway FSC
Fort Saskatchewan FSC,Fort Saskatchewan FSC
Fort Smith FSC,Fort Smith FSC
Gateway SC,Gateway SC
Glencoe Club,Glencoe Club (Skating)
Calgary North Edge Skating Academy,Golden Edge Skating Academy 
Golden Edge Skating Academy,Golden Edge Skating Academy 
Golden Edge SA,Golden Edge Skating Academy 
Golden Edge SC,Golden Edge Skating Academy 
Goldstar Skating Academy,Goldstar Skating Club
Grande Prairie SC,Grande Prairie SC
Grovedale SC,Grovedale FSC
High River SC,High River SC
Huntington Hills SC,Huntington Hills SC
Ice Edge SC,Ice Edge SC
Ice Palace FSC,Ice Palace FSC
Innisfail Skating Club,Innisfail SC
Indus FSC,Indus FSC
Lacombe FSC,Lacombe SC
Lake Bonavista FSC,Lake Bonavista FSC
Lethbridge FSC,Lethbridge SC
Lethbridge Skating Club,Lethbridge SC
Medicine Hat FSC,Medicine Hat FSC
Medicine Hat SC,Medicine Hat FSC
Noralta SC,Noralta SC
Noralta FSC,Noralta SC
Norlight FSC,Norlight SC
Okotoks FSC,Okotoks SC
Peace River SC,Peace River SC
Red Deer SC,Red Deer SC
Royal Glenora Club,Royal Glenora Club (Skating)
Sherwood Park FSC,Sherwood Park FSC
Skate Ponoka,Skate Ponoka
Southern Alberta Skating Academy,Southern Alberta Skating Academy
Springbank FSC,Springbank FSC
St. Albert Skating Centre,St. Albert Skating Centre
St. Albert SC,St. Albert Skating Centre
St. Paul FSC,St. Paul FSC
Strathmore FSC,Strathmore FSC
Sylvan Lake FSC,Sylvan Lake FSC
Thorncliffe-Greenview SC,Thorncliffe-Greenview Ice Skating Club
Thorncliffe Greenview Ice SC,Thorncliffe-Greenview Ice Skating Club
Thorncliffe Greenview Ice Skating Cl,Thorncliffe-Greenview Ice Skating Club
Thorncliffe Greenview SC,Thorncliffe-Greenview Ice Skating Club
Tri Area SC,Tri Area SC
Vulcan SC,Vulcan FSC
Wild Rose FSC,Wild Rose FSC Calgary
Calgary Wild Rose FSC,Wild Rose FSC Calgary
Yellowknife SC,Yellowknife FSC
Champs International SC of BC,Champs International Skating Centre
Gloucester SC,Gloucester FSC
Moosomin Skating Club,Moosomin SC
Prince Albert SC Corp.,Prince Albert SC
Sherwood Parkdale FSC,Sherwood Parkdale SC
Saskatoon FSC,Skate Saskatoon
Saskatoon FSC/Skate Saskatoon,Skate Saskatoon
Skate Saskatoon/Saskatoon FSC,Skate Saskatoon
York Region Skating Academy WC,York Region Skating Academy
Kimberly Skating Club,Kimberley SC
Olympia Skating Club,Olympia SC
Provost & Dist,Provost and District FSC
Provost & Dist SC,Provost and District FSC
Red Deer FSC,Red Deer SC
Skate Ponoka Club,Skate Ponoka
West Hillhurst Skating Club,West Hillhurst SC
