Scraped,Normalized
2017 Calgary Starskate Invitational & Awg Zones 1 - 4 Runoffs,2017 Calgary Region STARSkate Invitational
2017 Calgary Winter Invitational,2017 Calgary Winter Invitational
Central Region Open,2017 Central Region STARSkate Invitational
Canmore Fall Invitational,2017 Fall Compettiive Invitational
2017 Wild Rose Invitational Competition,2017 Wild Rose Invitational
2018 Alberta Winter Games,2018 Alberta Winter Games
Calgary Winter Invitational Figure Skating Competition,2018 Calgary Winter Invitational
2018 Central Region Starskate Invitational,2018 Central Region Starskate Invitational
2018 Chinook Open Invitational,2018 South Region STARSkate Invitational
2018 Ne/Nw Regions Starskate Invitational,2018 NE/NW Regions STARSkate Invitational
2018 Nwt Region Starskate Invitational,2018 NWT Region STARSkate Invitational
Peace Region Starskate Invitational & Arctic Winter Games Runoff-Ab North,2018 Peace Region STARSkate Invitational
2018 United Cycle Sunsational Competition,2018 Sunsational
2018 Wild Rose Invitational,2018 Wild Rose Invitational
"2019 Calgary Starskate Invitational, Alberta Winter Games Zone 1-4 Runoffs",2019 Calgary Region STARSkate Invitational
2019 Calgary Winter Invitational,2019 Calgary Winter Invitational
2019 Central Region Starskate Invitational,2019 Central Region STARSkate Invitational
2019 Chinook Open Invitational Competition,2019 South Region STARSkate Invitational
2019 Edmonton Starkskate Invitational,2019 Edmonton Region STARSkate Invitational
2019 Fall Competitive Invitational,2019 Fall Competitive Invitational
Ne Nw Starskate Skatesational 2019,2019 NE/NW Regions STARSkate Invitational
2019 Nwt Region Starskateinvitational,2019 NWT Region STARSkate Invitational
2019 Skate Canada: Alberta-Nwt/Nunavut Sectionals,2019 Skate Canada: AB/NT/NU Sectional Championships
2019 Skate Canada: Alberta-Nwt/Nunavut Starskate & Adult Championships,2019 Skate Canada: AB/NT/NU STARSkate & Adult Championships
2019 United Sport Sunsational Competition,2019 Sunsational
2019 Wildrose Invitational,2019 Wild Rose Invitational
2020 Calgary Winter Invitational,2020 Calgary Winter Invitational
2020 Central Starskate Invitational,2020 Central Region STARSkate Invitational
2023 Central Region Starskate Invitational,2023 Central Region STARSkate Invitational
2020 Nwt Invitational,2020 NWT Region STARSkate Invitational
2020 Nwt Invitional,2020 NWT Region STARSkate Invitational
2020 Skate Canada: Alberta-Nwt/Nunavut Sectional Championships,2020 Skate Canada: AB/NT/NU Sectional Championships
South Region Starskate Invitational,2020 South Region STARSkate Invitational
2021 Calgary Region Starskate Invitational,2021 Calgary Region STARSkate Invitational
2021 Edmonton Starskate Invitational,2021 Edmonton Region STARSkate Invitational
2021 Fall Competitive Invitational,2021 Fall Competitive Invitational
2021 Wild Rose Competition,2021 Wild Rose Invitational
2021 Skate Canada: Alberta-Nwt/Nunavut Sectionals,2021 Skate Canada: AB/NT/NU Sectional Championships
2022 Calgary Region Starskate Invitational,2022 Calgary Region STARSkate Invitational
Central Region Starskate Invitational,2022 Central Region STARSkate Invitational
2022 Combined Winter Invitational,2022 Combined Winter Invitational
2022 Fall Competitive Invitational,2022 Fall Competitive Invitational
2022 Ne/Nw Starskate Invitational,2022 NE/NW Regions STARSkate Invitational
2022 Nwt Diamond Edge Starskate Invitational,2022 NWT Region STARSkate Invitational
2022 Peace Starskate Invitational,2022 Peace Region STARSkate Invitational
2022 Skate Canada: Alberta-Nwt/Nunavut,2022 Skate Canada: AB/NT/NU STARSkate & Adult Championships
2022 South Starskate Invitational,2022 South Region STARSkate Invitational
2022 United Sport Sunsational Csi,2022 Sunsational
2022 Wild Rose Invitational,2022 Wild Rose Invitational
2023 Chinook Invitational,2023 South Region STARSkate Invitational
2023 Combined Winter Invitational,2023 Combined Winter Invitational
2023 Ne/Nw Region Starskate Invitational,2023 NE/NW Regions STARSkate Invitational
2023 NE/NW Region StarSkate Invitational,2023 NE/NW Regions STARSkate Invitational
2023 Peace Region Starskate Invitational,2023 Peace Region STARSkate Invitational
2023 Sectional Championships,2023 Skate Canada: AB/NT/NU Sectional Championships
2023 Starskate & Adult Championships,2023 Skate Canada: AB/NT/NU STARSkate & Adult Championships
2022 Skate Canada: Alberta-NWT/Nunavut,2022 Skate Canada: AB/NT/NU STARSkate & Adult Championships
2023 STARSkate & Adult Championships,2023 Skate Canada: AB/NT/NU STARSkate & Adult Championships
2022 Skate Canada: Alberta-NWT/Nunavut Sectionals,2022 Skate Canada: AB/NT/NU Sectional Championships
